DealerID,DealerName,City,Region
D001,Chaudhari-Ganesh Motors,Tiruchirappalli,West
D002,Pathak PLC Motors,Gwalior,East
D003,"Bhasin, Bedi and Bhakta Motors",Pimpri-Chinchwad,South
D004,Nayak and Sons Motors,Rajpur Sonarpur,East
D005,Vohra-Khalsa Motors,Haldia,North
D006,Gala-Sem Motors,Asansol,North
D007,Chaudhari-Munshi Motors,Kishanganj,SOUTH
D008,"Sami, Tata and Parikh Motors",Tiruchirappalli,Central
D009,Savant-Desai Motors,Gorakhpur,north
D010,Baral Group Motors,Chittoor,north
D011,Thakur-Dhar Motors,Vijayanagaram,SOUTH
D012,Babu and Sons Motors,Bally,South
D013,Dhar-Gandhi Motors,Yamunanagar,north
D014,Grover-Wali Motors,Saharanpur,SOUTH
D015,Khatri-Bahri Motors,Motihari,SOUTH
D016,"Sarin, Sarma and Bala Motors",Alwar,north
D017,Biswas LLC Motors,Kharagpur,East
D018,Walla Group Motors,Imphal,West
D019,Majumdar-Doctor Motors,Ambala,South
D020,Venkataraman-Mall Motors,North Dumdum,SOUTH
D021,"Choudhary, Choudhry and Menon Motors",Bhatpara,North
D022,Master-Deol Motors,Kulti,East
D023,"Oza, Kapoor and Wable Motors",Sultan Pur Majra,north
D024,Iyer-Pillai Motors,Dibrugarh,north
D025,"Parmer, Dara and Gala Motors",Rajpur Sonarpur,north
D026,"Choudhary, Jhaveri and Bajwa Motors",Amritsar,north
D027,Borah-Thakkar Motors,Rewa,north
D028,Natarajan-Chandran Motors,Bhavnagar,South
D029,"Rao, Hegde and Date Motors",Kalyan-Dombivli,West
D030,Basu-Mital Motors,Junagadh,SOUTH
D031,"Gala, Sidhu and Pingle Motors",Korba,north
D032,"Nadkarni, Palan and Ratti Motors",Hubli–Dharwad,SOUTH
D033,Sathe-Mahajan Motors,Medininagar,West
D034,"Dhingra, Nadig and Singh Motors",Thane,South
D035,"Mohanty, Chopra and Randhawa Motors",Pune,Central
D036,Palla PLC Motors,Yamunanagar,South
D037,"Chaudhuri, Bhatnagar and Sengupta Motors",Udupi,East
D038,Kant Inc Motors,Udaipur,West
D039,Muni-Murty Motors,Tenali,Central
D040,"Vora, Natarajan and Sani Motors",Tadepalligudem,East
D041,Anne LLC Motors,Salem,North
D042,Dora and Sons Motors,Hosur,West
D043,Cheema Inc Motors,Jamshedpur,West
D044,Hayre LLC Motors,Amaravati,north
D045,"Din, Saxena and Kaul Motors",Sambhal,Central
D046,"Banik, Maharaj and Gaba Motors",Mirzapur,South
D047,Randhawa PLC Motors,Saharsa,north
D048,Pandey Ltd Motors,Phagwara,South
D049,"Venkatesh, Rajagopalan and Bhasin Motors",Ambarnath,East
D050,Lata-Wali Motors,Thrissur,North
