SaleID,Date,DealerID,CustomerID,VehicleID,DiscountAmount,FinalPrice
S000001,2026-03-20,D043,C01108,V0167,127572.0,1467089
S000002,2025-01-21,D046,C02904,V0441,0.0,2144789
S000003,2024-09-02,D017,C04116,V0331,,1714819
S000004,2025-04-12,D041,C00468,V0306,93661.0,1779565
S000005,2024-12-22,D019,C04877,V0103,127640.0,2425170
S000006,10-10-2025,D036,C04041,V0095,,2499807
S000007,12-04-2025,D001,C03516,V0334,202203.0,2325341
S000008,2026-04-10,D001,C01561,V0034,0.0,730583
S000009,01/01/2025,D008,C01906,V0057,31355.0,1536438
S000010,27/02/2025,D050,C02309,V0294,29622.0,1451521
S000011,22/04/2025,D013,C00806,V0346,140638.0,1617349
S000012,2025-05-06,D028,C02990,V0386,146574.0,1319167
S000013,2026-03-13,D037,C02271,V0421,71170.0,1352230
S000014,2025-05-18,D005,C01959,V0497,37314.0,708979
S000015,2025-08-26,D003,C00152,V0326,233329.0,2099967
S000016,2026-04-30,D036,C03557,V0493,20578.0,1008329
S000017,2025-03-21,D019,C03372,V0095,49996.0,2449811
S000018,2025-04-01,D003,C03673,V0377,60746.0,2976574
S000019,2024-09-08,D017,C02378,V0088,0.0,1472583
S000020,2025-12-27,D041,C00064,V0201,36132.0,1770480
S000021,2025-07-07,D046,C01434,V0139,233633.0,2686786
S000022,08/09/2025,D046,C01346,V0040,113216.0,1301987
S000023,06-03-2025,D007,C04213,V0407,0.0,2669548
S000024,2025-12-20,D037,C01896,V0457,116483.0,2213193
S000025,2026-03-11,D006,C03008,V0046,0.0,1197362
S000026,10-18-2024,D008,C04850,V0085,47251.0,543394
S000027,2025-03-11,D013,C99999,V0133,,2659719
S000028,2025-06-09,D024,C00126,V0113,,2104215
S000029,2025-04-06,D049,C04548,V0475,232012.0,2088114
S000030,03-30-2026,D009,C00851,V0194,22491.0,1102061
S000031,31/01/2025,D002,C04244,V0215,89918.0,1034069
S000032,2025-11-01,D026,C00136,V0430,0.0,633974
S000033,2025-04-16,D038,C03519,V0275,,2105668
S000034,2025-01-21,D031,C03562,V0096,41740.0,480022
S000035,2025-11-23,D001,C00309,V0215,89918.0,1034069
S000036,2024-11-10,D003,C00742,V0487,92248.0,1752721
S000037,06-28-2026,D050,C03051,V0423,146317.0,1645635
S000038,12-02-2024,D045,C00029,V0067,172004.0,1978050
S000039,2024-11-19,D029,C04710,V0458,,1874548
S000040,2025-05-16,D022,C01727,V0432,165842.0,1907184
S000041,2024-11-23,D018,C03670,V0214,24106.0,458031
S000042,2024-08-31,D034,C02021,V0053,58242.0,1106602
S000043,2026-04-18,D020,C03799,V0032,114827.0,1033447
S000044,2025-07-04,D022,C04306,V0448,75794.0,682148
S000045,2024-12-05,D027,C02517,V0291,120135.0,2282574
S000046,01/03/2025,D011,C01863,V0422,156903.0,1804386
S000047,05-26-2026,D026,C03716,V0462,269820.0,2428384
S000048,2025-08-21,D029,C00427,V0258,0.0,2059571
S000049,18/10/2024,D050,C04750,V0088,29451.0,1443132
S000050,04/06/2025,D010,C04787,V0052,50730.0,2485796
S000051,2025-08-01,D041,C01503,V0477,216670.0,2491711
S000052,2025-05-02,D006,C02548,V0171,100815.0,1159379
S000053,2026-05-01,D007,C02277,V0482,79201.0,712809
S000054,04-09-2026,D035,C03722,V0286,179249.0,1613244
S000055,2024-11-08,D003,C04011,V0469,0.0,2737849
S000056,2025-11-13,D047,C02812,V0149,134735.0,1212623
S000057,06-17-2025,D038,C00385,V0341,126723.0,2407747
S000058,01-01-2026,D025,C00700,V0374,210650.0,2422486
S000059,2026-03-17,D025,C00939,V0471,234530.0,2110770
S000060,08-04-2025,D021,C01484,V0100,113530.0,1021778
S000061,08/04/2026,D040,C04885,V0427,0.0,1858997
S000062,03/11/2024,D050,C02528,V0324,193759.0,2228229
S000063,2024-08-18,D043,C00193,V0497,14925.0,731368
S000064,07/01/2026,D002,C04135,V0456,81387.0,1546362
S000065,2025-12-02,D007,C04778,V0105,117007.0,1053064
S000066,14/10/2024,D025,C04301,V0123,0.0,2504561
S000067,02-04-2026,D045,C02700,V0163,112851.0,1015659
S000068,2026-03-08,D015,C02636,V0061,262674.0,2364066
S000069,2025-08-07,D041,C00762,V0295,0.0,2178428
S000070,2025-04-11,D032,C01206,V0318,309097.0,2781875
S000071,2025-07-29,D039,C03542,V0213,0.0,503899
S000072,22/01/2026,D048,C03499,V0337,229835.0,2114944
S000073,2025-11-14,D036,C00760,V0078,169199.0,1945796
S000074,2025-02-26,D042,C00822,V0241,213370.0,2453758
S000075,2026-02-16,D038,C03767,V0099,40212.0,764040
S000076,03-28-2025,D040,C02248,V0427,92949.0,1766048
S000077,2024-09-16,D024,C02688,V0197,78640.0,707760
S000078,04-21-2025,D007,C01408,V0386,29314.0,1436427
S000079,2026-04-12,D038,C03503,V0099,16085.0,788167
S000080,2025-03-12,D013,C00824,V0275,168453.0,1937215
S000081,2024-12-22,D029,C00351,V0258,0.0,2012807
S000082,2024-12-30,D039,C03773,V0312,33357.0,1634507
S000083,2026-04-04,D047,C00213,V0110,242578.0,2789652
S000084,2025-11-26,D032,C01158,V0393,77928.0,701352
S000085,23/06/2026,D029,C00790,V0229,46036.0,2255798
S000086,2025-07-30,D031,C02543,V0182,82453.0,948219
S000087,28/09/2024,D001,C02242,V0394,212695.0,1914258
S000088,04-22-2026,D022,C02601,V0307,0.0,1102987
S000089,2025-09-14,D041,C04538,V0295,0.0,2178428
S000090,2025-02-24,D017,C01867,V0107,23647.0,1158705
S000091,2025-10-14,D046,C04191,V0219,99269.0,1886121
S000092,2024-12-23,D002,C02839,V0123,200364.0,2304197
S000093,09-22-2024,D027,C99999,V0399,130556.0,2480572
S000094,04/11/2024,D021,C02515,V0160,179712.0,2066694
S000095,2025-07-29,D005,C01916,V0247,94185.0,1789522
S000096,2025-12-04,D036,C00077,V0011,182201.0,2095312
S000097,2025-10-11,D012,C01622,V0292,163886.0,1474975
S000098,2026-07-31,D042,C03875,V0233,32397.0,1587472
S000099,2025-01-28,D045,C03716,V0217,57273.0,2806391
