InventoryID,DealerID,VehicleID,StockLevel,ReorderThreshold
INV0001,D007,V0011,12,4.0
INV0002,D008,V0361,11,3.0
INV0003,D041,V0047,-2,3.0
INV0004,D050,V0194,15,9.0
INV0005,D033,V0159,39,9.0
INV0006,D025,V0211,35,5.0
INV0007,D020,V0415,24,5.0
INV0008,D013,V0339,46,6.0
INV0009,D022,V0063,26,7.0
INV0010,D044,V0300,13,9.0
INV0011,D033,V0483,8,2.0
INV0012,D048,V0141,41,3.0
INV0013,D040,V0346,31,4.0
INV0014,D042,V0462,17,3.0
INV0015,D040,V0257,42,7.0
INV0016,D015,V0356,5,7.0
INV0017,D007,V0482,41,7.0
INV0018,D037,V0308,38,2.0
INV0019,D012,V0440,23,2.0
INV0020,D018,V0184,22,8.0
INV0021,D048,V0425,41,8.0
INV0022,D041,V0309,23,6.0
INV0023,D032,V0325,16,6.0
INV0024,D009,V0219,24,10.0
INV0025,D025,V0115,24,10.0
INV0026,D033,V0066,26,5.0
INV0027,D023,V0389,36,9.0
INV0028,D013,V0120,39,4.0
INV0029,D043,V0191,49,3.0
INV0030,D006,V0158,41,10.0
INV0031,D025,V0364,13,6.0
INV0032,D028,V0431,19,4.0
INV0033,D008,V0267,33,4.0
INV0034,D024,V0403,23,6.0
INV0035,D005,V0272,22,4.0
INV0036,D001,V0394,18,3.0
INV0037,D042,V0116,48,10.0
INV0038,D027,V0443,6,3.0
INV0039,D028,V0489,38,9.0
INV0040,D019,V0432,15,2.0
INV0041,D001,V0072,14,5.0
INV0042,D044,V0469,9,6.0
INV0043,D044,V0099,5,3.0
INV0044,D019,V0269,4,4.0
INV0045,D048,V0329,37,8.0
INV0046,D027,V0284,1,5.0
INV0047,D048,V0075,42,7.0
INV0048,D041,V0203,42,10.0
INV0049,D040,V0233,6,2.0
INV0050,D007,V0241,45,
INV0051,D046,V0332,50,7.0
INV0052,D019,V0328,43,6.0
INV0053,D049,V0086,36,10.0
INV0054,D006,V0150,21,3.0
INV0055,D031,V0049,-2,8.0
INV0056,D004,V0197,48,2.0
INV0057,D003,V0103,44,6.0
INV0058,D035,V0036,44,9.0
INV0059,D034,V0070,23,10.0
INV0060,D026,V0429,16,2.0
INV0061,D033,V0257,41,6.0
INV0062,D005,V0371,11,5.0
INV0063,D030,V0012,29,8.0
INV0064,D011,V0011,16,7.0
INV0065,D015,V0211,5,4.0
INV0066,D050,V0145,-12,6.0
INV0067,D006,V0431,9,2.0
INV0068,D020,V0454,27,5.0
INV0069,D013,V0133,9,3.0
INV0070,D018,V0319,40,9.0
INV0071,D006,V0443,29,3.0
INV0072,D014,V0005,39,10.0
INV0073,D026,V0170,21,5.0
INV0074,D042,V0397,2,3.0
INV0075,D008,V0368,38,3.0
INV0076,D037,V0176,2,9.0
INV0077,D016,V0276,10,2.0
INV0078,D004,V0036,28,10.0
INV0079,D045,V0276,29,8.0
INV0080,D008,V0070,38,6.0
INV0081,D030,V0025,5,5.0
INV0082,D031,V0257,48,6.0
INV0083,D004,V0461,35,6.0
INV0084,D014,V0450,13,10.0
INV0085,D030,V0049,36,2.0
INV0086,D026,V0039,38,7.0
INV0087,D021,V0251,49,6.0
INV0088,D030,V0371,23,6.0
INV0089,D042,V0493,8,8.0
INV0090,D010,V0153,31,5.0
INV0091,D018,V0446,-1,9.0
INV0092,D035,V0289,47,7.0
INV0093,D025,V0401,42,10.0
INV0094,D029,V0290,13,4.0
INV0095,D042,V0205,40,5.0
INV0096,D004,V0398,0,3.0
INV0097,D008,V0332,47,6.0
INV0098,D050,V0048,15,10.0
INV0099,D028,V0249,28,2.0
INV0100,D022,V0456,34,3.0
INV0101,D030,V0195,26,4.0
INV0102,D048,V0356,17,6.0
INV0103,D015,V0060,0,6.0
INV0104,D012,V0083,13,8.0
INV0105,D046,V0341,25,2.0
INV0106,D036,V0499,38,6.0
INV0107,D022,V0197,6,9.0
INV0108,D020,V0384,23,7.0
INV0109,D029,V0019,41,2.0
INV0110,D033,V0440,32,7.0
INV0111,D002,V0426,0,7.0
INV0112,D013,V0468,43,7.0
INV0113,D015,V0063,33,9.0
INV0114,D033,V0204,0,10.0
INV0115,D012,V0205,31,8.0
INV0116,D019,V0465,33,8.0
INV0117,D040,V0416,30,4.0
INV0118,D031,V0096,3,5.0
INV0119,D007,V0407,29,8.0
INV0120,D048,V0295,9,8.0
INV0121,D037,V0143,17,10.0
INV0122,D021,V0125,46,4.0
INV0123,D036,V0314,19,6.0
INV0124,D021,V0333,22,3.0
INV0125,D050,V0227,3,10.0
INV0126,D030,V0355,25,2.0
INV0127,D049,V0283,3,8.0
INV0128,D005,V0062,15,7.0
INV0129,D025,V0175,11,9.0
INV0130,D007,V0350,26,6.0
INV0131,D030,V0156,15,4.0
INV0132,D001,V0421,43,
INV0133,D042,V0357,34,7.0
INV0134,D026,V0059,11,2.0
INV0135,D035,V0104,50,8.0
INV0136,D037,V0275,43,9.0
INV0137,D019,V0213,3,10.0
INV0138,D023,V0432,39,10.0
