VehicleID,Brand,ModelName,VehicleType,CostPrice,SellingPrice
V0001,Hyundai,Hyundai Dolore,Hatchback,402609,517468
V0002,Skoda,Skoda Optio,Hatchback,1465801,1857530
V0003,Maruti Suzuki,Maruti suzuki Recusandae,MUV,2441389,3181573
V0004,Hyundai,Hyundai Quidem,EV,2426500,2898513
V0005,Maruti Suzuki,Maruti suzuki Qui,Hatchback,1958519,2627587
V0006,volkswagen,Volkswagen Earum,SUV,1655951,1971711
V0007,Tata,Tata Sunt,Sedan,629904,820879
V0008,Kia,Kia Architecto,MUV,2009937,2555985
V0009,Hyundai,Hyundai Hic,Hatchback,2278688,2651840
V0010,toyota,Toyota Recusandae,Hatchback,1067207,1324366
V0011,Toyota,Toyota Nulla,SUV,1932580,2277513
V0012,Tata,Tata Ab,MUV,646005,848568
V0013,Mahindra,Mahindra A,MUV,1205801,1579770
V0014,Toyota,Toyota Doloribus,SUV,1472034,1888731
V0015,Volkswagen,Volkswagen Quam,SUV,1852882,2283076
V0016,Tata,Tata Dignissimos,EV,2070728,2413618
V0017,Volkswagen,Volkswagen A,EV,1678947,2037968
V0018,MG,Mg Modi,Sedan,710392,821009
V0019,Maruti Suzuki,Maruti suzuki Exercitationem,Hatchback,892786,1167567
V0020,Toyota,Toyota Dicta,EV,1368992,1789482
V0021,MG,Mg Quaerat,Hatchback,906623,1221282
V0022,Maruti Suzuki,Maruti suzuki Nisi,SUV,1883416,2352012
V0023,Skoda,Skoda Qui,Sedan,1543144,1845560
V0024,Skoda,Skoda Velit,MUV,1204800,1547517
V0025,MG,Mg Possimus,EV,2426105,3257303
V0026,Honda,Honda Eveniet,SUV,1740901,2349742
V0027,mahindra,Mahindra Rem,MUV,822023,1068823
V0028,Toyota,Toyota Facere,Sedan,894420,1123678
V0029,Honda,Honda Quasi,EV,1089407,1274572
V0030,Hyundai,Hyundai Minus,SUV,2120845,2860284
V0031,Mahindra,Mahindra Nisi,Hatchback,1863377,2265869
V0032,Hyundai,Hyundai Quisquam,Hatchback,916644,1148274
V0033,Skoda,Skoda Neque,MUV,846799,1105880
V0034,Volkswagen,Volkswagen Autem,MUV,561971,753878
V0035,Skoda,Skoda Consequuntur,Hatchback,2080585,2620842
V0036,Maruti Suzuki,Maruti suzuki Quod,EV,739817,909502
V0037,Kia,Kia Et,MUV,1435895,1713387
V0038,Maruti Suzuki,Maruti suzuki Recusandae,Sedan,1143872,1372795
V0039,Tata,Tata Fugit,Hatchback,2235611,2850112
V0040,Mahindra,Mahindra Ipsa,EV,1210275,1415203
V0041,Tata,Tata Occaecati,EV,2425716,3217593
V0042,Toyota,Toyota Dignissimos,SUV,2279659,2901642
V0043,Honda,Honda Magni,SUV,697251,828178
V0044,Mahindra,Mahindra Corporis,Sedan,2030269,2694278
V0045,MG,Mg Mollitia,Sedan,1664791,2246445
V0046,Tata,Tata Sapiente,Hatchback,972382,1197362
V0047,Kia,Kia Officia,Hatchback,1384493,1738891
V0048,Kia,Kia Autem,SUV,896340,1199987
V0049,Honda,Honda Repellendus,MUV,1934519,2344819
V0050,Honda,Honda Porro,Hatchback,2188100,2665887
V0051,Hyundai,Hyundai Reprehenderit,EV,2388206,2949055
V0052,Toyota,Toyota Distinctio,Hatchback,1919223,2536526
V0053,Mahindra,Mahindra Odio,SUV,1002903,1164844
V0054,Volkswagen,Volkswagen Adipisci,EV,2329603,2822619
V0055,Honda,Honda Impedit,Hatchback,619399,832167
V0056,Kia,Kia Sed,EV,1773503,2270662
V0057,Toyota,Toyota Ducimus,Hatchback,1347195,1567793
V0058,Kia,Kia Tempora,EV,1905482,2403713
V0059,Mahindra,Mahindra Iure,Sedan,1016951,1265149
V0060,Tata,Tata Aperiam,MUV,432921,507770
V0061,MG,Mg At,SUV,2187227,2626740
V0062,Toyota,Toyota Asperiores,EV,730104,913904
V0063,Toyota,Toyota Incidunt,Sedan,2103092,2478211
V0064,Tata,Tata Dicta,Hatchback,959691,1190423
V0065,Kia,Kia Natus,EV,903516,1156498
V0066,Volkswagen,Volkswagen Molestiae,SUV,881385,1136174
V0067,Kia,Kia Eum,SUV,1744387,2150054
V0068,Mahindra,Mahindra Rerum,Hatchback,640066,850355
V0069,MG,Mg Distinctio,MUV,2046588,2376102
V0070,Volkswagen,Volkswagen Facere,Hatchback,1596394,1950017
V0071,MG,Mg Asperiores,Hatchback,1468639,1736996
V0072,Honda,Honda Laudantium,Hatchback,1113081,1383695
V0073,Volkswagen,Volkswagen Dolores,MUV,1125657,1419893
V0074,Hyundai,Hyundai Eaque,MUV,2018473,2679497
V0075,Skoda,Skoda Enim,Sedan,2263811,2764107
V0076,Honda,Honda Velit,SUV,804949,1078613
V0077,Honda,Honda Eligendi,Sedan,1497615,1732334
V0078,Tata,Tata Corporis,Hatchback,1674887,2114995
V0079,MG,Mg Repellendus,Sedan,2162497,2860740
V0080,Tata,Tata Facilis,Hatchback,2487711,3065366
V0081,Skoda,Skoda Deleniti,SUV,986679,1238439
V0082,Honda,Honda Maiores,MUV,1850857,2463380
V0083,Tata,Tata Sit,Hatchback,2076929,2450078
V0084,Hyundai,Hyundai Suscipit,MUV,1872989,2181653
V0085,MG,Mg In,Hatchback,490429,590645
V0086,Tata,Tata Voluptates,EV,713111,846033
V0087,Mahindra,Mahindra Delectus,Sedan,1060534,1366498
V0088,Skoda,Skoda Tempore,EV,1143075,1472583
V0089,MG,Mg Ipsam,Sedan,701206,908410
V0090,MG,Mg Ipsa,Hatchback,1966668,2592267
V0091,Hyundai,Hyundai Vitae,EV,403294,539181
V0092,Toyota,Toyota Deserunt,MUV,401333,490337
V0093,MG,Mg Nisi,SUV,2313619,2773341
V0094,Hyundai,Hyundai Occaecati,MUV,1021209,1302595
V0095,Maruti Suzuki,Maruti suzuki Alias,EV,2096844,2499807
V0096,Tata,Tata Aspernatur,EV,452971,521762
V0097,Volkswagen,Volkswagen Ea,Sedan,1138947,1486223
V0098,Kia,Kia Quod,MUV,738512,857769
V0099,Mahindra,Mahindra Nemo,Sedan,616239,804252
V0100,Toyota,Toyota Eum,SUV,905785,1135308
V0101,Kia,Kia Vero,Hatchback,1635275,2039015
V0102,Mahindra,Mahindra Eaque,Hatchback,768165,1032119
V0103,Skoda,Skoda Illo,MUV,2037467,2552810
V0104,Toyota,Toyota Autem,MUV,1485488,1934909
V0105,Toyota,Toyota Aut,Hatchback,881221,1170071
V0106,Tata,Tata Modi,SUV,2300057,2832105
V0107,Volkswagen,Volkswagen Eius,Hatchback,962625,1182352
V0108,Toyota,Toyota Sapiente,Hatchback,1224318,1419015
V0109,Mahindra,Mahindra Molestias,EV,1612053,1927476
V0110,Maruti Suzuki,Maruti suzuki Error,EV,2411352,3032230
V0111,Honda,Honda Dolores,Hatchback,653357,856428
V0112,Mahindra,Mahindra Facere,Hatchback,1395616,1647723
V0113,Skoda,Skoda A,Hatchback,1779505,2104215
V0114,Skoda,Skoda Non,MUV,1029812,1185509
V0115,MG,Mg Itaque,SUV,1235615,1548455
V0116,Skoda,Skoda Maiores,Hatchback,1320152,1636588
V0117,Toyota,Toyota Voluptates,Hatchback,2425277,2811658
V0118,Tata,Tata Quis,Hatchback,552500,723763
V0119,MG,Mg Suscipit,EV,444066,594772
V0120,Tata,Tata Accusantium,Hatchback,737140,888556
V0121,Toyota,Toyota Repellat,EV,1428444,1838942
V0122,Hyundai,Hyundai Eius,MUV,1355259,1625693
V0123,MG,Mg Rem,MUV,2131346,2504561
V0124,Honda,Honda Architecto,MUV,2256675,2965470
V0125,Maruti Suzuki,Maruti suzuki Blanditiis,Sedan,2415174,3256589
V0126,Skoda,Skoda Voluptate,MUV,933556,1186471
V0127,Volkswagen,Volkswagen Animi,Hatchback,2239816,2950886
V0128,Kia,Kia Nisi,Sedan,2063397,2625257
V0129,Hyundai,Hyundai Quidem,SUV,2405819,3048576
V0130,Toyota,Toyota Ipsa,MUV,1059999,1423712
V0131,Honda,Honda Atque,Sedan,611108,814470
V0132,Kia,Kia Et,MUV,1917435,2519693
V0133,Volkswagen,Volkswagen Vero,SUV,2045778,2659719
V0134,mg,Mg Temporibus,Hatchback,1979492,2483988
V0135,Maruti Suzuki,Maruti suzuki Asperiores,Hatchback,1572979,1915870
V0136,honda,Honda Perspiciatis,Hatchback,2213403,2866386
V0137,Tata,Tata Ab,EV,2459614,2896263
V0138,Volkswagen,Volkswagen Omnis,Sedan,601143,739327
V0139,MG,Mg Voluptatum,Sedan,2473919,2920419
V0140,Honda,Honda Voluptatum,EV,1410189,1643683
V0141,Mahindra,Mahindra Laudantium,SUV,555473,705591
V0142,Volkswagen,Volkswagen Quis,Hatchback,2329984,3140182
V0143,Mahindra,Mahindra Ab,Hatchback,495656,646033
V0144,Honda,Honda Id,SUV,668586,777229
V0145,Maruti Suzuki,Maruti suzuki Nobis,Hatchback,1271788,1651789
V0146,Skoda,Skoda Quos,SUV,462829,604523
V0147,Honda,Honda Officiis,Hatchback,1582830,1974518
V0148,Skoda,Skoda Autem,Sedan,1694203,2066594
V0149,Mahindra,Mahindra Vero,EV,1037086,1347358
V0150,kia,Kia Neque,MUV,1132535,1484063
V0151,Kia,Kia Impedit,EV,1937515,2437381
V0152,Kia,Kia Ducimus,Sedan,470246,598734
V0153,Volkswagen,Volkswagen Quaerat,MUV,1557551,2057976
V0154,Honda,Honda Nobis,MUV,746912,986585
V0155,Hyundai,Hyundai Facere,Hatchback,1576598,2089259
V0156,Skoda,Skoda Iusto,Sedan,1630791,1967988
V0157,Honda,Honda Esse,SUV,2463148,3188327
V0158,Volkswagen,Volkswagen Commodi,EV,961392,1292316
V0159,Kia,Kia Non,EV,1712659,2240173
V0160,MG,Mg Nobis,EV,1713599,2246406
V0161,Volkswagen,Volkswagen Neque,Sedan,2214790,2747523
V0162,MG,Mg Rerum,Hatchback,1444537,1815269
V0163,Kia,Kia Quisquam,Sedan,912152,1128510
V0164,Honda,Honda Quod,MUV,2363068,2863453
V0165,Kia,Kia Iure,EV,1472599,1780798
V0166,Hyundai,Hyundai Neque,Sedan,2344905,2974365
V0167,Hyundai,Hyundai Consectetur,EV,1337521,1594661
V0168,kia,Kia Quaerat,MUV,594467,732099
V0169,MG,Mg Illum,Sedan,1711459,2148089
V0170,Mahindra,Mahindra Repellat,EV,2161484,2600909
V0171,Volkswagen,Volkswagen Reprehenderit,Sedan,1031707,1260194
V0172,Honda,Honda Reprehenderit,EV,649809,765587
V0173,Mahindra,Mahindra Eligendi,Hatchback,2265206,2831240
V0174,Volkswagen,Volkswagen Corporis,SUV,1382708,1597447
V0175,Kia,Kia Vel,SUV,566523,681124
V0176,Volkswagen,Volkswagen Dignissimos,SUV,1777965,2083532
V0177,hyundai,Hyundai Error,SUV,2460743,3196969
V0178,Kia,Kia Excepturi,MUV,2476685,3153644
V0179,Honda,Honda Quis,EV,2408894,3210356
V0180,Kia,Kia Maiores,Hatchback,2112783,2616237
V0181,Toyota,Toyota Sint,,806995,973363
V0182,skoda,Skoda Dignissimos,SUV,887480,1030672
V0183,Honda,Honda Animi,EV,2398523,2973134
V0184,Toyota,Toyota Et,Sedan,1497648,1861096
V0185,kia,Kia Omnis,MUV,1583937,2028982
V0186,Mahindra,Mahindra Fuga,MUV,1397301,1670707
V0187,Maruti Suzuki,Maruti suzuki Deserunt,Sedan,1363635,1568815
V0188,Mahindra,Mahindra Fugit,SUV,1840101,2188709
V0189,Skoda,Skoda Libero,Hatchback,1009586,1293850
V0190,Kia,Kia Sunt,MUV,1512759,1779881
V0191,Honda,Honda At,SUV,446563,523105
V0192,Tata,Tata Vero,MUV,2093721,2497317
V0193,Mahindra,Mahindra Facere,Hatchback,698629,815396
V0194,Volkswagen,Volkswagen Corrupti,EV,951033,1124552
V0195,Kia,Kia Voluptates,EV,1048910,1269035
V0196,Skoda,Skoda Delectus,Hatchback,1816813,2089678
V0197,Skoda,Skoda Tenetur,EV,639688,786400
V0198,Kia,Kia Nesciunt,Hatchback,2404235,2792830
V0199,Honda,Honda Error,SUV,1038834,1273582
V0200,Maruti Suzuki,Maruti suzuki Ea,MUV,1547881,1976369
V0201,Maruti Suzuki,Maruti suzuki Quae,Hatchback,1448422,1806612
V0202,Hyundai,Hyundai Occaecati,EV,2248225,2606005
V0203,Maruti Suzuki,Maruti suzuki Suscipit,MUV,1027576,1377160
V0204,Volkswagen,Volkswagen Eius,SUV,711526,838946
V0205,hyundai,Hyundai Soluta,MUV,1254503,1671612
V0206,Mahindra,Mahindra Incidunt,SUV,971501,1197862
V0207,Volkswagen,Volkswagen Doloribus,EV,1345012,1558488
V0208,Toyota,Toyota Tenetur,Sedan,1318556,1537390
V0209,Honda,Honda Velit,SUV,2053004,2626077
V0210,Skoda,Skoda Porro,Sedan,1606252,2114885
V0211,MG,Mg In,Hatchback,1753053,2240581
V0212,volkswagen,Volkswagen Soluta,Hatchback,1875323,2437975
V0213,Maruti Suzuki,Maruti suzuki Velit,SUV,403029,503899
V0214,Skoda,Skoda Repellendus,,407745,482137
V0215,Toyota,Toyota Doloribus,EV,970861,1123987
V0216,kia,Kia Quod,MUV,640631,747149
V0217,Maruti Suzuki,Maruti suzuki Deserunt,Hatchback,2204956,2863664
V0218,Hyundai,Hyundai Corrupti,SUV,1183655,1363656
V0219,MG,Mg Iusto,EV,1676136,1985390
V0220,Kia,Kia Eveniet,Sedan,1767375,2336591
V0221,Skoda,Skoda Recusandae,EV,1300199,1634203
V0222,MG,Mg Quas,Sedan,866135,1056136
V0223,Tata,Tata Doloribus,Hatchback,1569108,1852027
V0224,Honda,Honda Facilis,Hatchback,400513,484206
V0225,MG,Mg Dolorum,Hatchback,896949,1045823
V0226,Kia,Kia Blanditiis,,894434,1203844
V0227,Volkswagen,Volkswagen Nisi,SUV,1297947,1731909
V0228,Toyota,Toyota Quos,SUV,1478108,1985157
V0229,MG,Mg Dignissimos,SUV,1797951,2301834
V0230,Maruti Suzuki,Maruti suzuki Ullam,Sedan,2394645,2899333
V0231,Toyota,Toyota Praesentium,Sedan,836375,1009442
V0232,Tata,Tata Doloremque,Sedan,2109133,2736129
V0233,Kia,Kia Ipsa,SUV,1347377,1619869
V0234,mg,Mg Hic,Sedan,1181116,1466656
V0235,Maruti Suzuki,Maruti suzuki Est,,935956,1080487
V0236,MG,Mg Sunt,,1155877,1362882
V0237,Mahindra,Mahindra Corrupti,MUV,2390274,3189855
V0238,Mahindra,Mahindra Praesentium,Hatchback,2394517,2769015
V0239,Hyundai,Hyundai Maiores,EV,1010289,1358241
V0240,Hyundai,Hyundai Beatae,MUV,1665672,2195447
V0241,hyundai,Hyundai Voluptas,EV,2183342,2667128
V0242,Kia,Kia Quo,Hatchback,2280020,2967380
V0243,Hyundai,Hyundai Modi,Sedan,1654473,2177826
V0244,Tata,Tata Aliquid,SUV,1617132,1902946
V0245,Volkswagen,Volkswagen Blanditiis,SUV,899157,1074403
V0246,Maruti Suzuki,Maruti suzuki Sit,Sedan,943457,1186650
V0247,Volkswagen,Volkswagen Rem,,1624639,1883707
V0248,Honda,Honda Repellendus,EV,544893,628608
V0249,Hyundai,Hyundai Perspiciatis,Sedan,2142136,2642950
V0250,Tata,Tata Magni,Hatchback,750723,884643
V0251,Maruti Suzuki,Maruti suzuki Laborum,Hatchback,1368291,1810528
V0252,Maruti Suzuki,Maruti suzuki Iusto,MUV,1753446,2174765
V0253,Kia,Kia Libero,EV,982013,1200583
V0254,Volkswagen,Volkswagen Impedit,EV,454268,538530
V0255,Volkswagen,Volkswagen Dolore,EV,1067682,1302177
V0256,Maruti Suzuki,Maruti suzuki Vel,MUV,797356,991585
V0257,Toyota,Toyota Possimus,Hatchback,503860,612400
V0258,Skoda,Skoda Libero,EV,1618465,2012807
V0259,Hyundai,Hyundai Accusamus,Hatchback,1777356,2363779
V0260,Volkswagen,Volkswagen Nesciunt,EV,2093647,2477080
V0261,Skoda,Skoda Laudantium,Hatchback,1680406,2202407
V0262,Maruti Suzuki,Maruti suzuki Distinctio,SUV,1877248,2470447
V0263,Hyundai,Hyundai Vel,Sedan,2224626,2746676
V0264,Maruti Suzuki,Maruti suzuki Ut,Sedan,2338796,2927407
V0265,Kia,Kia Ipsam,Hatchback,1044132,1367026
V0266,Tata,Tata Pariatur,,1036126,1327146
V0267,Toyota,Toyota Ab,EV,1429152,1706113
V0268,Maruti Suzuki,Maruti suzuki Magni,EV,1621534,1926471
V0269,Volkswagen,Volkswagen Nulla,EV,445830,573375
V0270,Toyota,Toyota Exercitationem,SUV,554184,687434
V0271,Tata,Tata Blanditiis,MUV,910909,1162083
V0272,Tata,Tata Laborum,Sedan,1141437,1445154
V0273,Mahindra,Mahindra Voluptates,MUV,1203058,1515306
V0274,MG,Mg Necessitatibus,Sedan,1023148,1284108
V0275,Hyundai,Hyundai Beatae,MUV,1567329,2105668
V0276,Skoda,Skoda Distinctio,EV,884089,1096425
V0277,Skoda,Skoda Magni,Sedan,604126,780304
V0278,Tata,Tata Voluptate,MUV,467204,547186
V0279,Tata,Tata Officia,MUV,1336474,1665330
V0280,Toyota,Toyota Voluptate,Sedan,434819,552887
V0281,Mahindra,Mahindra Repellendus,Sedan,1072116,1343831
V0282,Toyota,Toyota Rem,EV,849662,1127473
V0283,Hyundai,Hyundai Explicabo,SUV,2160019,2701294
V0284,Honda,Honda Dolore,Hatchback,1703540,2076250
V0285,Hyundai,Hyundai Ipsum,SUV,1174409,1511265
V0286,Honda,Honda Vel,Hatchback,1388536,1792493
V0287,Volkswagen,Volkswagen Illo,MUV,1104384,1480299
V0288,Honda,Honda Iusto,Hatchback,1771037,2122754
V0289,Tata,Tata Nihil,Sedan,1948123,2628221
V0290,Honda,Honda Facere,EV,2109555,2661013
V0291,Hyundai,Hyundai Minus,SUV,1837640,2402709
V0292,Maruti Suzuki,Maruti suzuki Doloribus,MUV,1386846,1638861
V0293,Volkswagen,Volkswagen Dolore,Sedan,1885144,2533115
V0294,Skoda,Skoda Qui,SUV,1261356,1481143
V0295,Volkswagen,Volkswagen Perferendis,Sedan,1618788,2178428
V0296,Maruti Suzuki,Maruti suzuki Aperiam,Sedan,671267,824696
V0297,Toyota,Toyota Voluptatibus,Sedan,1895201,2478336
V0298,MG,Mg Nihil,Sedan,501053,595346
V0299,Tata,Tata Itaque,Hatchback,2268116,2818447
V0300,Honda,Honda Molestias,MUV,814937,1051879
V0301,Toyota,Toyota Maiores,Sedan,935713,1126366
V0302,Kia,Kia Vero,EV,2428167,3187657
V0303,Skoda,Skoda Earum,Hatchback,1008326,1249063
V0304,Volkswagen,Volkswagen Accusantium,Hatchback,602804,722696
V0305,Maruti Suzuki,Maruti suzuki Magni,MUV,522543,639099
V0306,Maruti Suzuki,Maruti suzuki Ex,MUV,1511133,1873226
V0307,Volkswagen,Volkswagen At,SUV,840087,1102987
V0308,Kia,Kia Error,EV,2168239,2689917
V0309,Tata,Tata Est,Sedan,791082,1047582
V0310,Tata,Tata Voluptatum,MUV,2120499,2749242
V0311,Hyundai,Hyundai Inventore,Sedan,1028191,1282695
V0312,Hyundai,Hyundai Ab,MUV,1347220,1667864
V0313,Honda,Honda Incidunt,Hatchback,787025,916236
V0314,Kia,Kia Architecto,MUV,927531,1193475
V0315,Maruti Suzuki,Maruti suzuki Debitis,Hatchback,758536,914454
V0316,Kia,Kia Nam,Sedan,2372212,2805816
V0317,MG,Mg Nihil,MUV,2367177,2795437
V0318,Skoda,Skoda Illum,SUV,2420138,3090972
V0319,Kia,Kia Eaque,EV,434959,504114
V0320,Toyota,Toyota Asperiores,SUV,704711,877781
V0321,Hyundai,Hyundai Dolor,MUV,1592307,1946493
V0322,Mahindra,Mahindra Possimus,MUV,1471977,1809107
V0323,Maruti Suzuki,Maruti suzuki Laboriosam,Hatchback,2215915,2772831
V0324,Maruti Suzuki,Maruti suzuki Non,SUV,1890627,2421988
V0325,Honda,Honda Autem,Sedan,458249,555620
V0326,Honda,Honda Similique,EV,1794446,2333296
V0327,Maruti Suzuki,Maruti suzuki Magni,SUV,1458301,1819386
V0328,Tata,Tata Sequi,Hatchback,781962,1035091
V0329,Honda,Honda Veritatis,MUV,2365487,2885625
V0330,Skoda,Skoda Quis,Sedan,2092139,2727436
V0331,Honda,Honda Amet,EV,1452806,1714819
V0332,Tata,Tata Sint,SUV,1296549,1607570
V0333,Toyota,Toyota Tenetur,Sedan,415379,501742
V0334,Honda,Honda Omnis,MUV,2106074,2527544
V0335,Kia,Kia Reiciendis,EV,2459069,3038943
V0336,Kia,Kia Nobis,EV,2217924,2822341
V0337,Volkswagen,Volkswagen At,MUV,1772977,2298356
V0338,MG,Mg Architecto,Hatchback,1379204,1809574
V0339,Maruti Suzuki,Maruti suzuki Quas,Sedan,1448595,1870637
V0340,Skoda,Skoda Qui,MUV,2022458,2414622
V0341,Tata,Tata Voluptatibus,Hatchback,2023394,2534470
V0342,volkswagen,Volkswagen Ea,SUV,1973095,2440756
V0343,Mahindra,Mahindra Voluptatibus,Sedan,1904718,2414778
V0344,Skoda,Skoda Dolores,Hatchback,603159,693783
V0345,Maruti Suzuki,Maruti suzuki Corrupti,EV,1658971,2150754
V0346,Volkswagen,Volkswagen Vitae,,1343144,1757987
V0347,Kia,Kia Mollitia,Sedan,991895,1188542
V0348,Volkswagen,Volkswagen Iste,Hatchback,688662,921201
V0349,Honda,Honda Officiis,,1994164,2424174
V0350,Tata,Tata Quae,Sedan,1012482,1346093
V0351,Maruti Suzuki,Maruti suzuki Fugiat,SUV,1371075,1809102
V0352,Maruti Suzuki,Maruti suzuki Consequuntur,MUV,1800254,2124081
V0353,Kia,Kia Non,Hatchback,1177017,1480996
V0354,MG,Mg Voluptatem,MUV,644584,784828
V0355,Kia,Kia Inventore,SUV,2486649,3187646
V0356,MG,Mg Quibusdam,Hatchback,1771514,2290589
V0357,Honda,Honda Unde,Hatchback,1430715,1910027
V0358,Kia,Kia Eum,Hatchback,886577,1053510
V0359,Skoda,Skoda Officiis,MUV,1499047,1797230
V0360,Maruti Suzuki,Maruti suzuki Laudantium,MUV,1356582,1596917
V0361,Tata,Tata Commodi,EV,1035900,1391066
V0362,Tata,Tata Eligendi,MUV,2170260,2755055
V0363,Toyota,Toyota Quis,Sedan,1553837,1850608
V0364,Hyundai,Hyundai Eos,SUV,2213732,2904527
V0365,Skoda,Skoda Iste,SUV,1570144,1815070
V0366,honda,Honda Quos,EV,2205851,2736952
V0367,Volkswagen,Volkswagen Animi,SUV,1500653,1992470
V0368,MG,Mg Sit,Sedan,471783,605984
V0369,Maruti Suzuki,Maruti suzuki Ab,EV,867920,1092913
V0370,Volkswagen,Volkswagen Dolores,MUV,778140,895919
V0371,Tata,Tata Est,SUV,1576405,1954965
V0372,Honda,Honda Veritatis,MUV,504009,638760
V0373,Hyundai,Hyundai Iste,Hatchback,1286177,1682962
V0374,Honda,Honda Quaerat,Sedan,2242506,2633136
V0375,Volkswagen,Volkswagen Mollitia,Sedan,1439830,1932700
V0376,Tata,Tata Amet,SUV,490790,624465
V0377,Tata,Tata Qui,MUV,2335216,3037320
V0378,Honda,Honda Itaque,Hatchback,1498131,1902093
V0379,Kia,Kia Aspernatur,Sedan,919821,1198007
V0380,Honda,Honda Labore,MUV,2098212,2654388
V0381,MG,Mg Tempore,Hatchback,2216355,2938022
V0382,Skoda,Skoda Rerum,Hatchback,415812,510179
V0383,MG,Mg Illo,EV,1670494,2248052
V0384,Tata,Tata Sit,SUV,2244512,2785233
V0385,Skoda,Skoda Vitae,Hatchback,1128113,1445917
V0386,MG,Mg Distinctio,Hatchback,1180593,1465741
V0387,Honda,Honda Laboriosam,Sedan,2427601,2965305
